split,horizon,epsilon,region,landscape_count,endpoint_relative_residual_median,endpoint_relative_residual_q10,endpoint_relative_residual_q90,endpoint_relative_residual_positive_fraction,endpoint_quadratic_scale_median,endpoint_quadratic_scale_q10,endpoint_quadratic_scale_q90,max_path_relative_residual_median,max_path_relative_residual_q10,max_path_relative_residual_q90,max_path_relative_residual_positive_fraction,max_path_quadratic_scale_median,max_path_quadratic_scale_q10,max_path_quadratic_scale_q90
target,1,0.001,confirmatory,12,1.476478766900835e-14,-1.0962063722213286e-13,2.301509813487145e-13,0.5,1.3823577699190182e-11,-4.072907104895468e-11,5.0003404195031464e-11,1.476478766900835e-14,-1.0962063722213286e-13,2.301509813487145e-13,0.5,1.3823577699190182e-11,-4.072907104895468e-11,5.0003404195031464e-11
target,1,0.003,extended-local,12,-3.8928557123810424e-16,-1.7402549190832448e-14,2.33733178708026e-14,0.5,-9.637352644315595e-14,-1.5877538481509942e-12,4.4958250085732256e-12,-3.8928557123810424e-16,-1.7402549190832448e-14,2.33733178708026e-14,0.5,-9.637352644315595e-14,-1.5877538481509942e-12,4.4958250085732256e-12
target,1,0.01,extended-local,12,2.302931114407382e-15,-3.959090047699301e-15,3.7870468823523944e-14,0.6666666666666666,1.111307226797642e-13,-2.480654570646834e-13,6.438534601305169e-13,2.302931114407382e-15,-3.959090047699301e-15,3.7870468823523944e-14,0.6666666666666666,1.111307226797642e-13,-2.480654570646834e-13,6.438534601305169e-13
target,1,0.03,stress,12,1.2897945411252477e-15,-6.0361229373395384e-15,6.284527483461358e-15,0.6666666666666666,1.2528558437610274e-14,-1.551613775734811e-14,5.1077969014872655e-14,1.2897945411252477e-15,-6.0361229373395384e-15,6.284527483461358e-15,0.6666666666666666,1.2528558437610274e-14,-1.551613775734811e-14,5.1077969014872655e-14
target,1,0.1,stress,12,-4.0665548808529743e-16,-4.161438928686188e-15,5.883853323039194e-16,0.3333333333333333,-3.5128150388530336e-15,-5.100087019371812e-15,2.0122792321330962e-15,-4.0665548808529743e-16,-4.161438928686188e-15,5.883853323039194e-16,0.3333333333333333,-3.5128150388530336e-15,-5.100087019371812e-15,2.0122792321330962e-15
target,5,0.0001,confirmatory,12,-0.0001039649203222164,-0.0002865349711535553,-5.168509124600555e-05,0.0,-1.928702623675007,-12.889714440532428,-0.545778893614349,-0.0001039649203222164,-0.0002865349711535553,-5.168509124600555e-05,0.0,-1.928702623675007,-12.889714440532428,-0.545778893614349
target,5,0.0003,confirmatory,12,-0.00031186222144243713,-0.000859355639558036,-0.00015504968492613183,0.0,-1.9285418455548005,-12.885952820572202,-0.5457282787573454,-0.00031186222144243713,-0.000859355639558036,-0.00015504968492613183,0.0,-1.9285418455548005,-12.885952820572202,-0.5457282787573454
target,5,0.001,confirmatory,12,-0.001039161201923361,-0.0028616125002453655,-0.0005167667232877904,0.0,-1.9279791851368198,-12.872795466062609,-0.5455511752634972,-0.001039161201923361,-0.0028616125002453655,-0.0005167667232877904,0.0,-1.9279791851368198,-12.872795466062609,-0.5455511752634972
target,5,0.003,extended-local,12,-0.0031142325721449605,-0.008559975183040624,-0.001549738103204325,0.0,-1.926372201175447,-12.83527436257998,-0.5450454664262536,-0.0031142325721449605,-0.008559975183040624,-0.001549738103204325,0.0,-1.926372201175447,-12.83527436257998,-0.5450454664262536
target,5,0.01,extended-local,12,-0.01034292947978508,-0.02824508312042513,-0.005159233354187565,0.0,-1.920754980732648,-12.704781120227686,-0.5432789937145336,-0.01034292947978508,-0.02824508312042513,-0.005159233354187565,0.0,-1.920754980732648,-12.704781120227686,-0.5432789937145336
target,5,0.03,stress,12,-0.030706525846989484,-0.08231350604654097,-0.015421396146822341,0.0,-1.9047679495540013,-12.339019403884922,-0.538261997874887,-0.030706525846989484,-0.08231350604654097,-0.015421396146822341,0.0,-1.9047679495540013,-12.339019403884922,-0.538261997874887
target,5,0.1,stress,12,-0.09867768338322136,-0.24794867343189927,-0.05105715320508598,0.0,-1.849548687439185,-11.139640451909976,-0.5210530552526064,-0.09867768338322136,-0.24794867343189927,-0.05105715320508598,0.0,-1.849548687439185,-11.139640451909976,-0.5210530552526064
