landscape_id,split,stratum,horizon,region,epsilon_count,epsilon_minimum,epsilon_maximum,endpoint_residual_sign,endpoint_quadratic_scale_minimum,endpoint_quadratic_scale_median,endpoint_quadratic_scale_maximum,endpoint_quadratic_scale_relative_range,endpoint_relative_residual_median,max_path_residual_sign,max_path_quadratic_scale_minimum,max_path_quadratic_scale_median,max_path_quadratic_scale_maximum,max_path_quadratic_scale_relative_range,max_path_relative_residual_median
S04,source,regular-sensitivity,1,extended-local,2,0.003,0.01,numerical-zero,3.469446951953614e-13,2.5587171270657905e-12,4.7704895589362195e-12,1.728813559322034,1.679206906930982e-14,numerical-zero,3.469446951953614e-13,2.5587171270657905e-12,4.7704895589362195e-12,1.728813559322034,1.679206906930982e-14
S04,source,regular-sensitivity,1,stress,2,0.03,0.1,numerical-zero,-3.4694469519536134e-15,3.6814687101285573e-14,7.709882115452476e-14,0.04028413405323919,1.856684059696045e-15,numerical-zero,-3.4694469519536134e-15,3.6814687101285573e-14,7.709882115452476e-14,0.04028413405323919,1.856684059696045e-15
S04,source,regular-sensitivity,5,confirmatory,3,0.0001,0.001,negative,-3.3400591659973022,-3.339610338637235,-3.3380400441280353,0.000604598041246578,-0.0003736119280205896,negative,-3.3400591659973022,-3.339610338637235,-3.3380400441280353,0.000604598041246578,-0.0003736119280205896
S04,source,regular-sensitivity,5,extended-local,2,0.003,0.01,negative,-3.333558976745524,-3.32574900501158,-3.317939033277636,0.004696669365111477,-0.008051132989752775,negative,-3.333558976745524,-3.32574900501158,-3.317939033277636,0.004696669365111477,-0.008051132989752775
S04,source,regular-sensitivity,5,stress,2,0.03,0.1,negative,-3.273850963059889,-3.199728243437106,-3.1256055238143228,0.046330634343597576,-0.07659119285747717,negative,-3.273850963059889,-3.199728243437106,-3.1256055238143228,0.046330634343597576,-0.07659119285747717
S04,source,regular-sensitivity,20,confirmatory,3,0.0001,0.001,negative,-77.83046866534013,-77.74154242302511,-77.43174304022764,0.005128861773064048,-0.002358502507212222,negative,-77.83046866534013,-77.74154242302511,-77.43174304022764,0.005128861773064048,-0.002358502507212222
S04,source,regular-sensitivity,20,extended-local,2,0.003,0.01,negative,-76.55878584541894,-75.09883501915783,-73.63888419289671,0.03888078492532349,-0.048847054055755845,negative,-76.55878584541894,-75.09883501915783,-73.63888419289671,0.03888078492532349,-0.048847054055755845
S04,source,regular-sensitivity,20,stress,2,0.03,0.1,negative,-66.30829736694025,-57.44988375362293,-48.591470140305596,0.3083875208975926,-0.3462747303383216,negative,-66.30829736694025,-57.429308275913684,-48.550319184887115,0.30921455812660337,-0.34606665919106516
S04,source,regular-sensitivity,50,confirmatory,3,0.0001,0.001,negative,-529.886589239071,-527.7883039161181,-520.5637853113072,0.017663907780050815,-0.00788327208347106,negative,-529.886589239071,-527.7883039161181,-520.5637853113072,0.017663907780050815,-0.00788327208347106
S04,source,regular-sensitivity,50,extended-local,2,0.003,0.01,negative,-500.8952544083004,-471.304426121722,-441.71359783514356,0.12556991467309542,-0.14736832024073138,negative,-500.8952544083004,-471.304426121722,-441.71359783514356,0.12556991467309542,-0.14736832024073138
S04,source,regular-sensitivity,50,stress,2,0.03,0.1,negative,-327.16743886427474,-245.56791656773078,-163.96839427118684,0.6645780396482516,-0.6525193374639684,negative,-327.16743886427474,-238.84112447916175,-150.51481009404873,0.7396240038454454,-0.6190279218782992
S05,source,regular-sensitivity,1,confirmatory,3,0.0001,0.001,numerical-zero,-3.0387777556607614e-10,2.0328790734103208e-11,3.2587051546767443e-09,175.24814814814815,4.546497260878207e-14,numerical-zero,-3.0387777556607614e-10,2.0328790734103208e-11,3.2587051546767443e-09,175.24814814814815,4.546497260878207e-14
S05,source,regular-sensitivity,1,extended-local,2,0.003,0.01,numerical-zero,-5.5655711520922556e-12,-2.392472793951346e-12,7.806255641895632e-13,2.6525679758308156,-9.94167401045368e-15,numerical-zero,-5.5655711520922556e-12,-2.392472793951346e-12,7.806255641895632e-13,2.6525679758308156,-9.94167401045368e-15
S05,source,regular-sensitivity,1,stress,2,0.03,0.1,numerical-zero,0.0,7.709882115452476e-15,1.5419764230904952e-14,0.007709882115452476,5.172903550154761e-16,numerical-zero,0.0,7.709882115452476e-15,1.5419764230904952e-14,0.007709882115452476,5.172903550154761e-16
S05,source,regular-sensitivity,5,confirmatory,3,0.0001,0.001,negative,-1.5899796067291505,-1.589927019950963,-1.5897429218574706,0.00014886524268720042,-0.00019719208208192348,negative,-1.5899796067291505,-1.589927019950963,-1.5897429218574706,0.00014886524268720042,-0.00019719208208192348
S05,source,regular-sensitivity,5,extended-local,2,0.003,0.01,negative,-1.5892164466181982,-1.5882923224986092,-1.5873681983790202,0.001163670070677163,-0.0042667651298630895,negative,-1.5892164466181982,-1.5882923224986092,-1.5873681983790202,0.001163670070677163,-0.0042667651298630895
S05,source,regular-sensitivity,5,stress,2,0.03,0.1,negative,-1.5820403686369549,-1.5724560831689085,-1.5628717977008624,0.012190210678229445,-0.042116785764679934,negative,-1.5820403686369549,-1.5724560831689085,-1.5628717977008624,0.012190210678229445,-0.042116785764679934
S05,source,regular-sensitivity,20,confirmatory,3,0.0001,0.001,negative,-65.52960593628025,-65.49596544684584,-65.37821783144348,0.0023114111503498708,-0.001543326945508392,negative,-65.52960593628025,-65.49596544684584,-65.37821783144348,0.0023114111503498708,-0.001543326945508392
S05,source,regular-sensitivity,20,extended-local,2,0.003,0.01,negative,-65.04178619611386,-64.45373079096808,-63.8656753858223,0.01824736591440833,-0.032744978820260576,negative,-65.04178619611386,-64.45373079096808,-63.8656753858223,0.01824736591440833,-0.032744978820260576
S05,source,regular-sensitivity,20,stress,2,0.03,0.1,negative,-60.54944948605164,-55.332080902263726,-50.11471231847581,0.18858385582872467,-0.26815306929422655,negative,-60.54944948605164,-55.332080902263726,-50.11471231847581,0.18858385582872467,-0.26815306929422655
S05,source,regular-sensitivity,50,confirmatory,3,0.0001,0.001,negative,-1553.472499679024,-1544.3959032851608,-1513.4807203303833,0.02589477171207989,-0.008977255777399365,negative,-1553.472499679024,-1544.3959032851608,-1513.4807203303833,0.02589477171207989,-0.008977255777399365
S05,source,regular-sensitivity,50,extended-local,2,0.003,0.01,negative,-1431.8526785701188,-1319.0417245522026,-1206.2307705342866,0.17104986433422173,-0.15847484920309185,negative,-1431.8526785701188,-1319.0417245522026,-1206.2307705342866,0.17104986433422173,-0.15847484920309185
S05,source,regular-sensitivity,50,stress,2,0.03,0.1,negative,-836.3724457085775,-621.7979050628917,-407.22336441720586,0.6901745370917025,-0.6376006630842016,negative,-836.3724457085775,-621.7979050628917,-407.22336441720586,0.6901745370917025,-0.6376006630842016
S06,source,regular-sensitivity,1,confirmatory,3,0.0001,0.001,numerical-zero,2.981555974335137e-11,7.779150587583495e-10,4.18366513307844e-09,5.3397212543554,1.0001765041178778e-12,numerical-zero,2.981555974335137e-11,7.779150587583495e-10,4.18366513307844e-09,5.3397212543554,1.0001765041178778e-12
