landscape_id,split,stratum,horizon,epsilon,region,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,C_endpoint_l1,endpoint_l1,endpoint_prediction,endpoint_residual,endpoint_residual_over_epsilon_squared,endpoint_relative_residual,C_max_path_l1,max_path_l1,max_path_prediction,max_path_residual,max_path_residual_over_epsilon_squared,max_path_relative_residual
S01,source,regular-sensitivity,5,0.003,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.7057443238824315,0.005062314775824028,0.005117232971647294,-5.491819582326574e-05,-6.102021758140638,-0.010732010078014284,1.7057443238824315,0.005062314775824028,0.005117232971647294,-5.491819582326574e-05,-6.102021758140638,-0.010732010078014284
S01,source,regular-sensitivity,5,0.01,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.7057443238824315,0.016454748050564738,0.017057443238824316,-0.0006026951882595784,-6.0269518825957835,-0.035333266528936084,1.7057443238824315,0.016454748050564738,0.017057443238824316,-0.0006026951882595784,-6.0269518825957835,-0.035333266528936084
S01,source,regular-sensitivity,5,0.03,stress,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.7057443238824315,0.04593578083856603,0.05117232971647294,-0.0052365488779069075,-5.818387642118786,-0.10233164889933093,1.7057443238824315,0.04593578083856603,0.05117232971647294,-0.0052365488779069075,-5.818387642118786,-0.10233164889933093
S01,source,regular-sensitivity,5,0.1,stress,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.7057443238824315,0.1190481331521498,0.17057443238824316,-0.051526299236093365,-5.152629923609336,-0.3020751616444764,1.7057443238824315,0.1190481331521498,0.17057443238824316,-0.051526299236093365,-5.152629923609336,-0.3020751616444764
S01,source,regular-sensitivity,20,0.0001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.52905647749322,0.2919435019325063,0.17900002057427372]",0.17900002057427372,1.720369358201312,1.6178839578693451,0.00016210699024526987,0.00016178839578693453,3.1859445833533253e-07,31.859445833533254,0.0019692046316776763,2.0431125069523084,0.00020416462615241437,0.00020431125069523084,-1.466245428164651e-07,-14.662454281646509,-0.0007176528082400295
S01,source,regular-sensitivity,20,0.0003,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.52905647749322,0.2919435019325063,0.17900002057427372]",0.17900002057427372,1.720369358201312,1.6178839578693451,0.00048822217088059783,0.0004853651873608035,2.8569835197943347e-06,31.74426133104817,0.005886255533342471,2.0431125069523084,0.0006116151252610891,0.0006129337520856924,-1.3186268246033342e-06,-14.651409162259272,-0.0021513366169121995
S01,source,regular-sensitivity,20,0.001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.52905647749322,0.2919435019325063,0.17900002057427372]",0.17900002057427372,1.720369358201312,1.6178839578693451,0.0016492285865643275,0.0016178839578693451,3.134462869498235e-05,31.34462869498235,0.019373842321955725,2.0431125069523084,0.0020284996656418364,0.0020431125069523084,-1.4612841310472028e-05,-14.612841310472028,-0.007152245048056539
S01,source,regular-sensitivity,20,0.003,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.52905647749322,0.2919435019325063,0.17900002057427372]",0.17900002057427372,1.720369358201312,1.6178839578693451,0.005125742144090895,0.004853651873608035,0.0002720902704828592,30.232252275873243,0.05605887640239777,2.0431125069523084,0.005998806794371647,0.006129337520856926,-0.00013053072648527841,-14.503414053919823,-0.021296057859615025
S01,source,regular-sensitivity,20,0.01,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.52905647749322,0.2919435019325063,0.17900002057427372]",0.17900002057427372,1.720369358201312,1.6178839578693451,0.018844599281606422,0.01617883957869345,0.002665759702912971,26.65759702912971,0.16476828822900344,2.0431125069523084,0.019018207270397103,0.020431125069523083,-0.0014129177991259803,-14.129177991259802,-0.06915516371800869
S01,source,regular-sensitivity,20,0.03,stress,mixed,dominant_a,uniform_off_diagonal,"[0.52905647749322,0.2919435019325063,0.17900002057427372]",0.17900002057427372,1.720369358201312,1.6178839578693451,0.065330729093386,0.04853651873608035,0.016794210357305647,18.66023373033961,0.34601184416675973,2.0431125069523084,0.065330729093386,0.06129337520856925,0.004037353884816748,4.485948760907498,0.06586933532504011
S01,source,regular-sensitivity,20,0.1,stress,mixed,dominant_a,uniform_off_diagonal,"[0.52905647749322,0.2919435019325063,0.17900002057427372]",0.17900002057427372,1.720369358201312,1.6178839578693451,0.21194652538720105,0.16178839578693452,0.05015812960026653,5.0158129600266514,0.3100230356837318,2.0431125069523084,0.21194652538720105,0.20431125069523084,0.007635274691970201,0.76352746919702,0.03737079904307212
S01,source,regular-sensitivity,50,0.0001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.8772142468731454,0.10800919537116982,0.014776557755684781]",0.014776557755684781,4.2147132893906845,21.689411307414396,0.0021670589954753336,0.0021689411307414396,-1.8821352661059672e-06,-188.21352661059672,-0.0008677668745497811,21.689411307414396,0.0021670589954753336,0.0021689411307414396,-1.8821352661059672e-06,-188.21352661059672,-0.0008677668745497811
S01,source,regular-sensitivity,50,0.0003,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.8772142468731454,0.10800919537116982,0.014776557755684781]",0.014776557755684781,4.2147132893906845,21.689411307414396,0.006489884438636344,0.006506823392224318,-1.6938953587974405e-05,-188.21059542193785,-0.0026032600805204775,21.689411307414396,0.006489884438636344,0.006506823392224318,-1.6938953587974405e-05,-188.21059542193785,-0.0026032600805204775
S01,source,regular-sensitivity,50,0.001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.8772142468731454,0.10800919537116982,0.014776557755684781]",0.014776557755684781,4.2147132893906845,21.689411307414396,0.02150121987585077,0.021689411307414395,-0.00018819143156362586,-188.19143156362586,-0.008676650043484295,21.689411307414396,0.02150121987585077,0.021689411307414395,-0.00018819143156362586,-188.19143156362586,-0.008676650043484295
S01,source,regular-sensitivity,50,0.003,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.8772142468731454,0.10800919537116982,0.014776557755684781]",0.014776557755684781,4.2147132893906845,21.689411307414396,0.06337567825694541,0.06506823392224319,-0.0016925556652977736,-188.0617405886415,-0.026012011749395023,21.689411307414396,0.06337567825694541,0.06506823392224319,-0.0016925556652977736,-188.0617405886415,-0.026012011749395023
S01,source,regular-sensitivity,50,0.01,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.8772142468731454,0.10800919537116982,0.014776557755684781]",0.014776557755684781,4.2147132893906845,21.689411307414396,0.19821518164922852,0.21689411307414397,-0.018678931424915446,-186.78931424915444,-0.08612004798180098,21.689411307414396,0.19821518164922852,0.21689411307414397,-0.018678931424915446,-186.78931424915444,-0.08612004798180098
S01,source,regular-sensitivity,50,0.03,stress,mixed,dominant_a,uniform_off_diagonal,"[0.8772142468731454,0.10800919537116982,0.014776557755684781]",0.014776557755684781,4.2147132893906845,21.689411307414396,0.4908017445396975,0.6506823392224319,-0.1598805946827344,-177.64510520303824,-0.24571220862363097,21.689411307414396,0.4908017445396975,0.6506823392224319,-0.1598805946827344,-177.64510520303824,-0.24571220862363097
S01,source,regular-sensitivity,50,0.1,stress,mixed,dominant_a,uniform_off_diagonal,"[0.8772142468731454,0.10800919537116982,0.014776557755684781]",0.014776557755684781,4.2147132893906845,21.689411307414396,0.887179240642419,2.1689411307414397,-1.2817618900990206,-128.17618900990203,-0.5909620468402745,21.689411307414396,0.887179240642419,2.1689411307414397,-1.2817618900990206,-128.17618900990203,-0.5909620468402745
S02,source,regular-sensitivity,1,0.0001,confirmatory,balanced,dominant_b,forward_cycle,"[0.32224807772203845,0.34734609562962415,0.3304058266483374]",0.32224807772203845,1.1324336023566182,0.01254900895379285,1.2549008953088858e-06,1.254900895379285e-06,-7.039923758690985e-17,-7.039923758690985e-09,-5.6099440080192283e-11,0.01254900895379285,1.2549008953088858e-06,1.254900895379285e-06,-7.039923758690985e-17,-7.039923758690985e-09,-5.6099440080192283e-11
