landscape_id,split,stratum,horizon,region,epsilon_count,kl_residual_sign,kl_quadratic_error_minimum,kl_quadratic_error_median,kl_quadratic_error_maximum,stable_cubic_count,kl_cubic_scale_minimum,kl_cubic_scale_median,kl_cubic_scale_maximum
S05,source,regular-sensitivity,1,extended-local,2,negative,-0.02195918145371304,-0.01451371824207382,-0.007068255030434598,2,-2.356085010144866,-2.276001577758085,-2.1959181453713037
S05,source,regular-sensitivity,1,stress,2,negative,-0.1248876572646087,-0.0902661149343067,-0.0556445726040047,2,-1.8548190868001568,-1.5518478297231217,-1.2488765726460869
S05,source,regular-sensitivity,5,confirmatory,3,negative,-0.27295607113062537,-0.0845980451163616,-0.028471677490688182,3,-284.71677490688177,-281.99348372120534,-272.95607113062533
S05,source,regular-sensitivity,5,extended-local,2,negative,-1.9827936908518904,-1.3674218299904948,-0.7520499691290995,2,-250.68332304303314,-224.48134606411108,-198.27936908518902
S05,source,regular-sensitivity,5,stress,2,negative,-6.629634440134749,-5.273429412136988,-3.9172243841392267,2,-130.57414613797425,-98.43524526966087,-66.29634440134748
S05,source,regular-sensitivity,20,confirmatory,3,negative,-22.618830182762018,-7.399786424531287,-2.5339361573462003,3,-25339.361573462,-24665.954748437623,-22618.830182762016
S05,source,regular-sensitivity,20,extended-local,2,negative,-118.73078312890777,-87.12484285435467,-55.51890257980156,2,-18506.300859933854,-15189.689586412314,-11873.078312890775
S05,source,regular-sensitivity,20,stress,2,negative,-275.0144335037906,-233.5295675601056,-192.04470161642058,2,-6401.490053880688,-4575.817194459297,-2750.144335037906
S05,source,regular-sensitivity,50,confirmatory,3,negative,-834.5381674275355,-282.6895699091872,-97.94950521009552,3,-979495.052100955,-942298.5663639574,-834538.1674275354
S05,source,regular-sensitivity,50,extended-local,2,negative,-3607.5047654222567,-2760.3484755558206,-1913.1921856893846,2,-637730.7285631283,-499240.6025526769,-360750.47654222563
S05,source,regular-sensitivity,50,stress,2,negative,-5497.604418403505,-5200.035555023895,-4902.466691644283,2,-163415.5563881428,-109195.80028608892,-54976.04418403505
S06,source,regular-sensitivity,1,confirmatory,3,numerical-zero,8.380585719150769e-08,2.633802113234239e-07,8.756050531218141e-07,3,0.0008380585719150767,0.000875605053121814,0.0008779340377447465
S06,source,regular-sensitivity,1,extended-local,2,positive,2.6307835194516773e-06,5.722515928217548e-06,8.814248336983417e-06,2,0.0008769278398172257,0.0008791763367577837,0.0008814248336983416
S06,source,regular-sensitivity,1,stress,2,positive,2.6829105573640037e-05,6.03995818544297e-05,9.397005813521936e-05,2,0.0008943035191213346,0.0009170020502367641,0.0009397005813521935
S06,source,regular-sensitivity,5,confirmatory,3,negative,-0.0013976408375983914,-0.0004195672159145566,-0.0001398678467503498,3,-1.398678467503498,-1.3985573863818554,-1.397640837598391
S06,source,regular-sensitivity,5,extended-local,2,negative,-0.01385884708749756,-0.009021942772023145,-0.004185038456548727,2,-1.3950128188495758,-1.3904487637996659,-1.385884708749756
S06,source,regular-sensitivity,5,stress,2,negative,-0.1277387890354994,-0.08427523364592329,-0.040811678256347184,2,-1.360389275211573,-1.3188885827832835,-1.277387890354994
S06,source,regular-sensitivity,20,confirmatory,3,negative,-0.10709180825868062,-0.03224110176810278,-0.010757876930896035,3,-107.57876930896033,-107.47033922700926,-107.09180825868062
S06,source,regular-sensitivity,20,extended-local,2,negative,-1.0243433206889234,-0.6712071469280265,-0.31807097316712957,2,-106.02365772237653,-104.22899489563443,-102.43433206889232
S06,source,regular-sensitivity,20,stress,2,negative,-7.0391591917757905,-4.9191130239343615,-2.799066856092932,2,-93.30222853643109,-81.8469102270945,-70.39159191775789
S06,source,regular-sensitivity,50,confirmatory,3,negative,-1.7155090512861157,-0.5194281654508486,-0.17360254075294096,3,-1736.0254075294092,-1731.4272181694953,-1715.5090512861157
S06,source,regular-sensitivity,50,extended-local,2,negative,-15.325380262932262,-10.169918005174004,-5.014455747415746,2,-1671.485249138582,-1602.011637715904,-1532.538026293226
S06,source,regular-sensitivity,50,stress,2,negative,-70.09670322891569,-53.51580891191756,-36.93491459491943,2,-1231.1638198306475,-966.0654260599022,-700.9670322891568
S07,source,regular-sensitivity,1,confirmatory,3,negative,-6.282499232296231e-06,-1.8856935317301608e-06,-6.281240437416257e-07,3,-0.006285645105767203,-0.006282499232296231,-0.0062812404374162556
S07,source,regular-sensitivity,1,extended-local,2,negative,-6.25073741086325e-05,-4.066678957601916e-05,-1.8826205043405817e-05,2,-0.006275401681135273,-0.006263069545999261,-0.006250737410863249
S07,source,regular-sensitivity,1,stress,2,negative,-0.0005942526765797422,-0.00038983889891298787,-0.00018542512124623353,2,-0.006180837374874452,-0.006061682070335936,-0.005942526765797421
S07,source,regular-sensitivity,5,confirmatory,3,negative,-0.007778256515766258,-0.0023377714874243008,-0.0007796703006522453,3,-7.796703006522452,-7.79257162474767,-7.778256515766256
S07,source,regular-sensitivity,5,extended-local,2,negative,-0.07598394595173123,-0.049598404145480085,-0.02321286233922893,2,-7.7376207797429775,-7.66800768745805,-7.598394595173122
S07,source,regular-sensitivity,5,stress,2,negative,-0.6136552938206039,-0.41519379543292156,-0.21673229704523922,2,-7.224409901507975,-6.680481419857006,-6.136552938206039
S07,source,regular-sensitivity,20,confirmatory,3,negative,-0.512354870918063,-0.15506561106209876,-0.051819212370292835,3,-518.1921237029283,-516.8853702069958,-512.3548709180629
S07,source,regular-sensitivity,20,extended-local,2,negative,-4.595257119413089,-3.0472834858714473,-1.4993098523298045,2,-499.76995077660155,-479.6478313589552,-459.5257119413089
S07,source,regular-sensitivity,20,stress,2,negative,-20.58597784014255,-15.838048141060707,-11.090118441978861,2,-369.67061473262874,-287.76519656702715,-205.8597784014255
S07,source,regular-sensitivity,50,confirmatory,3,negative,-6.4874941964020705,-1.98947281865471,-0.6673673366470263,3,-6673.6733664702615,-6631.5760621823665,-6487.49419640207
S07,source,regular-sensitivity,50,extended-local,2,negative,-50.02396038543333,-34.16498611808566,-18.306011850737985,2,-6102.003950245996,-5552.199994394664,-5002.396038543332
S07,source,regular-sensitivity,50,stress,2,negative,-121.86007372617648,-108.15068262619928,-94.4412915262221,2,-3148.0430508740706,-2183.3218940679176,-1218.6007372617648
S08,source,regular-sensitivity,1,confirmatory,3,negative,-0.0006666129693368392,-0.000200243411226828,-6.677738638598525e-05,3,-0.6677738638598524,-0.66747803742276,-0.6666129693368391
S08,source,regular-sensitivity,1,extended-local,2,negative,-0.006556984639161393,-0.004274722455446968,-0.0019924602717325437,2,-0.664153423910848,-0.6599259439134937,-0.6556984639161393
S08,source,regular-sensitivity,1,stress,2,negative,-0.056430819253572455,-0.0377069911396682,-0.018983163025763944,2,-0.6327721008587983,-0.5985401466972614,-0.5643081925357245
S08,source,regular-sensitivity,5,confirmatory,3,negative,-0.20595639129038082,-0.06217108059165097,-0.020760623845173676,3,-207.60623845173671,-207.23693530550324,-205.9563912903808
S08,source,regular-sensitivity,5,extended-local,2,negative,-1.9103209063190503,-1.2587619157901242,-0.6072029252611981,2,-202.40097508706606,-196.71653285948554,-191.032090631905
S08,source,regular-sensitivity,5,stress,2,negative,-11.420297864641725,-8.19089203325966,-4.9614862018775945,2,-165.38287339591983,-139.79292602116854,-114.20297864641724
S08,source,regular-sensitivity,20,confirmatory,3,negative,-11.820705836793046,-3.6475445309046832,-1.2258924024128097,3,-12258.924024128095,-12158.481769682277,-11820.705836793044
S08,source,regular-sensitivity,20,extended-local,2,negative,-87.57235220129,-60.22398285779206,-32.875613514294116,2,-10958.53783809804,-9857.886529113519,-8757.235220129
S08,source,regular-sensitivity,20,stress,2,negative,-231.66356869790042,-199.10179072312573,-166.54001274835105,2,-5551.333758278369,-3933.9847226286865,-2316.635686979004
S08,source,regular-sensitivity,50,confirmatory,3,negative,-179.70250247488994,-59.08704412929208,-20.264818386437632,3,-202648.18386437627,-196956.81376430695,-179702.50247488992
S08,source,regular-sensitivity,50,extended-local,2,negative,-898.2290601127593,-666.9180566666658,-435.6070532205725,2,-145202.35107352416,-117512.62854240004,-89822.90601127592
S08,source,regular-sensitivity,50,stress,2,negative,-1613.5265385808975,-1475.649883655062,-1337.7732287292265,2,-44592.440957640894,-30363.853171724935,-16135.265385808974
S09,source,regular-sensitivity,1,confirmatory,3,negative,-0.0005105593432726606,-0.00015338208086940642,-5.114542605849046e-05,3,-0.5114542605849046,-0.5112736028980214,-0.5105593432726605
S09,source,regular-sensitivity,1,extended-local,2,negative,-0.005015458348713752,-0.0032705136706045355,-0.0015255689924953196,2,-0.5085229974984399,-0.5050344161849075,-0.5015458348713752
S09,source,regular-sensitivity,1,stress,2,negative,-0.04283565929210979,-0.028659916683585,-0.01448417407506021,2,-0.48280580250200705,-0.4555811977115525,-0.42835659292109796
S09,source,regular-sensitivity,5,confirmatory,3,negative,-0.09763631119664784,-0.029527410136086438,-0.009865264128210765,3,-98.65264128210764,-98.42470045362147,-97.63631119664782
S09,source,regular-sensitivity,5,extended-local,2,negative,-0.8870065687789402,-0.5867019609558506,-0.286397353132761,2,-95.46578437758701,-92.0832206277405,-88.700656877894
S09,source,regular-sensitivity,5,stress,2,negative,-4.897311691196424,-3.5638111544876443,-2.230310617778865,2,-74.34368725929552,-61.65840208562988,-48.97311691196424
