landscape_id,split,stratum,horizon,epsilon,region,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,K_kl_q_p,kl_q_p,kl_prediction,kl_residual,kl_over_epsilon_squared,kl_over_epsilon_squared_minus_k,kl_relative_residual,kl_residual_over_epsilon_cubed,cubic_normalization_numerically_stable
T01,target,regular-sensitivity,50,0.0003,confirmatory,target_a,dominant_a,asymmetric_a,"[0.8959091438822425,0.09805426779028298,0.006036588327474562]",0.006036588327474562,5.109916273065872,206.49389006662966,1.8230711316799672e-05,1.8584450105996668e-05,-3.537387891969958e-07,202.56345907555195,-3.930430991077732,-0.019034127304248537,-13101.436636925773,True
T01,target,regular-sensitivity,50,0.001,confirmatory,target_a,dominant_a,asymmetric_a,"[0.8959091438822425,0.09805426779028298,0.006036588327474562]",0.006036588327474562,5.109916273065872,206.49389006662966,0.00019428650995439133,0.00020649389006662964,-1.2207380112238316e-05,194.28650995439133,-12.207380112238317,-0.059117391358646715,-12207.380112238316,True
T01,target,regular-sensitivity,50,0.003,extended-local,target_a,dominant_a,asymmetric_a,"[0.8959091438822425,0.09805426779028298,0.006036588327474562]",0.006036588327474562,5.109916273065872,206.49389006662966,0.001580224455370982,0.001858445010599667,-0.0002782205552286849,175.58049504122022,-30.913395025409432,-0.1497061003375672,-10304.465008469811,True
T01,target,regular-sensitivity,50,0.01,extended-local,target_a,dominant_a,asymmetric_a,"[0.8959091438822425,0.09805426779028298,0.006036588327474562]",0.006036588327474562,5.109916273065872,206.49389006662966,0.013723076125130067,0.020649389006662966,-0.006926312881532899,137.23076125130066,-69.26312881532898,-0.3354245919478768,-6926.312881532898,True
T01,target,regular-sensitivity,50,0.03,stress,target_a,dominant_a,asymmetric_a,"[0.8959091438822425,0.09805426779028298,0.006036588327474562]",0.006036588327474562,5.109916273065872,206.49389006662966,0.08216154653426447,0.1858445010599667,-0.10368295452570223,91.29060726029385,-115.2032828063358,-0.5579016539867742,-3840.1094268778606,True
T01,target,regular-sensitivity,50,0.1,stress,target_a,dominant_a,asymmetric_a,"[0.8959091438822425,0.09805426779028298,0.006036588327474562]",0.006036588327474562,5.109916273065872,206.49389006662966,0.4186738170293961,2.064938900666297,-1.6462650836369006,41.8673817029396,-164.62650836369002,-0.7972463897627663,-1646.2650836369003,True
T02,target,regular-sensitivity,1,0.0001,confirmatory,target_b,weak,forward_cycle,"[0.6020975887574047,0.09984910241757357,0.2980533088250218]",0.09984910241757357,2.3040952084689437,0.08786523041718926,8.786195855241361e-10,8.786523041718926e-10,-3.271864775653382e-14,0.0878619585524136,-3.2718647756533823e-06,-3.7237309458114166e-05,-0.03271864775653382,True
T02,target,regular-sensitivity,1,0.0003,confirmatory,target_b,weak,forward_cycle,"[0.6020975887574047,0.09984910241757357,0.2980533088250218]",0.09984910241757357,2.3040952084689437,0.08786523041718926,7.906989047644974e-09,7.907870737547032e-09,-8.816899020584882e-13,0.08785543386272195,-9.796554467316537e-06,-0.00011149523447217884,-0.03265518155772179,True
T02,target,regular-sensitivity,1,0.001,confirmatory,target_b,weak,forward_cycle,"[0.6020975887574047,0.09984910241757357,0.2980533088250218]",0.09984910241757357,2.3040952084689437,0.08786523041718926,8.783258833026437e-08,8.786523041718926e-08,-3.2642086924886184e-11,0.08783258833026437,-3.2642086924886184e-05,-0.0003715017506913673,-0.03264208692488618,True
T02,target,regular-sensitivity,1,0.003,extended-local,target_b,weak,forward_cycle,"[0.6020975887574047,0.09984910241757357,0.2980533088250218]",0.09984910241757357,2.3040952084689437,0.08786523041718926,7.899068607834705e-07,7.907870737547033e-07,-8.802129712328258e-10,0.08776742897594117,-9.780144124809176e-05,-0.0011130846727849548,-0.032600480416030586,True
