landscape_id,split,stratum,horizon,log_horizon,C_endpoint_l1,C_max_path_l1,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,selection_log_factor_spread_per_step,inferred_initial_boundary_min_probability,clean_log_odds_linear_max_abs_error
S10,source,regular-sensitivity,5,1.6094379124341003,4.329687435215517,4.329687435215517,edge,tie_bc,asymmetric_b,"[0.0008395918113399378,0.09901589630698435,0.9001445118816758]",0.0008395918113399378,7.082594723114503,0.03500000000000004,0.0010000000000000024,2.6645352591003757e-15
S10,source,regular-sensitivity,20,2.995732273553991,16.455415247612244,16.455415247612244,edge,tie_bc,asymmetric_b,"[0.000496835418042449,0.09904986315677058,0.900453301425187]",0.000496835418042449,7.607251737530208,0.03500000000000004,0.0010000000000000024,2.6645352591003757e-15
S10,source,regular-sensitivity,50,3.912023005428146,38.44020190207137,38.44020190207137,edge,tie_bc,asymmetric_b,"[0.0001739176387352617,0.09908186401778302,0.9007442183434817]",0.0001739176387352617,8.656928711412716,0.03500000000000004,0.0010000000000000024,2.6645352591003757e-15
S11,source,regular-sensitivity,1,0.0,0.01665972598167903,0.01665972598167903,balanced,reversed,backward_cycle,"[0.3168124094855952,0.33305572906545156,0.35013186144895325]",0.3168124094855952,1.1494454484529983,0.10000000000000006,0.33333333333333326,8.881784197001252e-16
S11,source,regular-sensitivity,5,1.6094379124341003,0.25351544766357514,0.25351544766357514,balanced,reversed,backward_cycle,"[0.25427521259046554,0.3264958357998367,0.41922895160969775]",0.25427521259046554,1.3693380844056786,0.10000000000000006,0.33333333333333326,8.881784197001252e-16
S11,source,regular-sensitivity,20,2.995732273553991,3.007548228010177,3.007548228010177,balanced,reversed,backward_cycle,"[0.09003057317038032,0.24472847105479767,0.665240955774822]",0.09003057317038032,2.407605964444382,0.10000000000000006,0.33333333333333326,8.881784197001252e-16
S11,source,regular-sensitivity,50,3.912023005428146,8.235579860443863,8.235579860443863,balanced,reversed,backward_cycle,"[0.006188285272800008,0.0753887479629967,0.9184229667642033]",0.006188285272800008,5.085097246364314,0.10000000000000006,0.33333333333333326,8.881784197001252e-16
S12,source,regular-sensitivity,1,0.0,0.16513946324558954,0.16513946324558954,mixed,strong_ordered,asymmetric_a,"[0.21355876344046074,0.3009298380813926,0.48551139847814656]",0.21355876344046074,1.5438432455876459,0.09499999999999999,0.2000000000000001,4.440892098500626e-16
S12,source,regular-sensitivity,5,1.6094379124341003,0.6861551110756858,0.6861551110756858,mixed,strong_ordered,asymmetric_a,"[0.2738123599012366,0.30048810285376115,0.42569953724500226]",0.2738123599012366,1.295312225067638,0.09499999999999999,0.2000000000000001,4.440892098500626e-16
S12,source,regular-sensitivity,20,2.995732273553991,0.7516119506864213,0.9748712238184472,mixed,strong_ordered,asymmetric_a,"[0.5544224567089029,0.2382670400011677,0.20731050328992942]",0.20731050328992942,1.5735375937234577,0.09499999999999999,0.2000000000000001,4.440892098500626e-16
S12,source,regular-sensitivity,50,3.912023005428146,7.157227687307666,7.157227687307666,mixed,strong_ordered,asymmetric_a,"[0.9195109421358374,0.06060073684592866,0.019888321018233898]",0.019888321018233898,3.9176226030410595,0.09499999999999999,0.2000000000000001,4.440892098500626e-16
S13,source,analytic-zero,1,0.0,0.0,0.0,balanced,neutral,identity,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,1.0986122886681098,0.0,0.3333333333333333,0.0
S13,source,analytic-zero,5,1.6094379124341003,0.0,0.0,balanced,neutral,identity,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,1.0986122886681098,0.0,0.3333333333333333,0.0
S13,source,analytic-zero,20,2.995732273553991,0.0,0.0,balanced,neutral,identity,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,1.0986122886681098,0.0,0.3333333333333333,0.0
S13,source,analytic-zero,50,3.912023005428146,0.0,0.0,balanced,neutral,identity,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,1.0986122886681098,0.0,0.3333333333333333,0.0
S14,source,low-sensitivity,1,0.0,9.894972513241147e-14,9.894972513241147e-14,mixed,weak,near_identity,"[0.2013026980748582,0.300448045019461,0.49824925690568084]",0.2013026980748582,1.6029455431730684,0.009999999999999952,0.19999999999999998,1.1102230246251565e-16
S14,source,low-sensitivity,5,1.6094379124341003,4.851131766223334e-13,4.851131766223334e-13,mixed,weak,near_identity,"[0.2065672509329321,0.3022006310029988,0.4912321180640691]",0.2065672509329321,1.577129249222741,0.009999999999999952,0.19999999999999998,1.1102230246251565e-16
S14,source,low-sensitivity,20,2.995732273553991,1.7895488687766888e-12,1.7895488687766888e-12,mixed,weak,near_identity,"[0.22706202353279806,0.30818132266115594,0.46475665380604597]",0.22706202353279806,1.4825320673996234,0.009999999999999952,0.19999999999999998,1.1102230246251565e-16
S14,source,low-sensitivity,50,3.912023005428146,3.657150675069549e-12,3.657150675069549e-12,mixed,weak,near_identity,"[0.2714051970286353,0.3170558699633252,0.41153893300803956]",0.2714051970286353,1.3041423828014231,0.009999999999999952,0.19999999999999998,1.1102230246251565e-16
T01,target,regular-sensitivity,1,0.0,0.07472514836433938,0.07472514836433938,target_a,dominant_a,asymmetric_a,"[0.3151449209765772,0.3997001624198301,0.2851549166035926]",0.2851549166035926,1.254722679362382,0.10000000000000009,0.29999999999999993,4.440892098500626e-16
T01,target,regular-sensitivity,5,1.6094379124341003,0.4758777048520966,0.4758777048520966,target_a,dominant_a,asymmetric_a,"[0.37808159604284897,0.3926003240840766,0.22931807987307445]",0.22931807987307445,1.4726452441102977,0.10000000000000009,0.29999999999999993,4.440892098500626e-16
