landscape_id,split,stratum,horizon,first_order_l1_coefficient,second_order_l1_coefficient,zero_first_derivative_coordinates,zero_first_derivative_coordinate_count,second_derivative_l1_norm,state_oracle_max_absolute_error,first_oracle_max_absolute_error,second_oracle_max_absolute_error
T02,target,regular-sensitivity,5,1.2631649029989296,-1.0126228467472784,[],0,2.025245693494557,2.220446049250313e-16,5.329070518200751e-15,5.684341886080802e-14
T02,target,regular-sensitivity,20,5.155208288707014,-19.633036541685712,[],0,39.266073083371424,2.220446049250313e-16,5.329070518200751e-15,5.684341886080802e-14
T02,target,regular-sensitivity,50,13.271909901796777,-128.85541031147267,[],0,257.71082062294533,2.220446049250313e-16,5.329070518200751e-15,5.684341886080802e-14
T03,target,regular-sensitivity,1,0.8267271604688728,0.0,[],0,0.0,2.220446049250313e-16,1.4210854715202004e-14,9.094947017729282e-13
T03,target,regular-sensitivity,5,4.454411366732167,-12.989471866129497,[],0,25.978943732258994,2.220446049250313e-16,1.4210854715202004e-14,9.094947017729282e-13
T03,target,regular-sensitivity,20,20.80752190945781,-265.1367945653212,[],0,530.2735891306424,2.220446049250313e-16,1.4210854715202004e-14,9.094947017729282e-13
T03,target,regular-sensitivity,50,53.01064137200179,-1491.3299862264334,[],0,2982.659972452867,2.220446049250313e-16,1.4210854715202004e-14,9.094947017729282e-13
T04,target,regular-sensitivity,1,0.9377144447055981,0.0,[],0,0.0,2.220446049250313e-16,1.7763568394002505e-14,9.094947017729282e-13
T04,target,regular-sensitivity,5,4.666060247739626,-9.069742306666514,[],0,18.13948461333303,2.220446049250313e-16,1.7763568394002505e-14,9.094947017729282e-13
T04,target,regular-sensitivity,20,18.212886220597927,-154.07041253808023,[],0,308.14082507616047,2.220446049250313e-16,1.7763568394002505e-14,9.094947017729282e-13
T04,target,regular-sensitivity,50,42.31658878712781,-769.9091470194938,[],0,1539.8182940389877,2.220446049250313e-16,1.7763568394002505e-14,9.094947017729282e-13
T05,target,regular-sensitivity,1,0.01665972598167903,0.0,[],0,0.0,3.3306690738754696e-16,1.5543122344752192e-15,1.7763568394002505e-14
T05,target,regular-sensitivity,5,0.2372775016895502,-0.116449609826507,[],0,0.232899219653014,3.3306690738754696e-16,1.5543122344752192e-15,1.7763568394002505e-14
T05,target,regular-sensitivity,20,2.245129387349434,-4.2204122710547995,[],0,8.440824542109599,3.3306690738754696e-16,1.5543122344752192e-15,1.7763568394002505e-14
T05,target,regular-sensitivity,50,4.708319617758285,-11.663961135151908,[],0,33.756312103863905,3.3306690738754696e-16,1.5543122344752192e-15,1.7763568394002505e-14
T06,target,regular-sensitivity,1,0.3333333333333333,0.0,[],0,0.0,0.0,7.105427357601002e-15,5.115907697472721e-13
T06,target,regular-sensitivity,5,1.6666666666666665,-3.3333333333333326,[],0,6.666666666666665,0.0,7.105427357601002e-15,5.115907697472721e-13
T06,target,regular-sensitivity,20,6.666666666666664,-63.33333333333333,[],0,126.66666666666666,0.0,7.105427357601002e-15,5.115907697472721e-13
T06,target,regular-sensitivity,50,16.66666666666666,-408.3333333333333,[],0,816.6666666666666,0.0,7.105427357601002e-15,5.115907697472721e-13
T07,target,regular-sensitivity,1,0.5269727267029053,0.0,[],0,0.0,2.220446049250313e-16,3.552713678800501e-15,1.0658141036401503e-13
T07,target,regular-sensitivity,5,2.4907823459035083,-1.9544200178796018,[],0,3.9088400357592037,2.220446049250313e-16,3.552713678800501e-15,1.0658141036401503e-13
T07,target,regular-sensitivity,20,7.701443790578784,-17.627404799819065,[],0,35.25480959963813,2.220446049250313e-16,3.552713678800501e-15,1.0658141036401503e-13
T07,target,regular-sensitivity,50,11.430959821312907,-31.507026284689736,[],0,63.01405256937947,2.220446049250313e-16,3.552713678800501e-15,1.0658141036401503e-13
T08,target,regular-sensitivity,1,0.7950445009252174,0.0,[],0,0.0,3.3306690738754696e-16,1.7763568394002505e-14,9.094947017729282e-13
T08,target,regular-sensitivity,5,3.943095573075518,-12.010709734902886,[],0,24.02141946980577,3.3306690738754696e-16,1.7763568394002505e-14,9.094947017729282e-13
T08,target,regular-sensitivity,20,15.23653145232657,-230.18746222674864,[],0,460.3749244534973,3.3306690738754696e-16,1.7763568394002505e-14,9.094947017729282e-13
T08,target,regular-sensitivity,50,34.78624193406296,-1475.2820934746956,[],0,2950.564186949391,3.3306690738754696e-16,1.7763568394002505e-14,9.094947017729282e-13
T09,target,regular-sensitivity,1,0.23490112737051153,0.0,[],0,0.0,2.220446049250313e-16,2.6645352591003757e-15,7.993605777301127e-14
T09,target,regular-sensitivity,5,1.2214178726325686,-0.9180648136549093,[],0,1.8361296273098187,2.220446049250313e-16,2.6645352591003757e-15,7.993605777301127e-14
T09,target,regular-sensitivity,20,4.717127327704444,-8.987740618104858,[],0,23.869532798607715,2.220446049250313e-16,2.6645352591003757e-15,7.993605777301127e-14
T09,target,regular-sensitivity,50,7.694484913404585,-12.851802455505146,[],0,57.10244826296195,2.220446049250313e-16,2.6645352591003757e-15,7.993605777301127e-14
T10,target,regular-sensitivity,1,0.3711829419533299,0.0,[],0,0.0,2.220446049250313e-16,5.329070518200751e-15,1.4210854715202004e-13
T10,target,regular-sensitivity,5,1.8765684041839248,-1.903146022942187,[],0,4.234627618720003,2.220446049250313e-16,5.329070518200751e-15,1.4210854715202004e-13
T10,target,regular-sensitivity,20,7.671865557905107,-36.53672947434798,[],0,81.4720186911122,2.220446049250313e-16,5.329070518200751e-15,1.4210854715202004e-13
T10,target,regular-sensitivity,50,19.07157810845073,-232.35071599169686,[],0,519.4771992746757,2.220446049250313e-16,5.329070518200751e-15,1.4210854715202004e-13
T11,target,regular-sensitivity,1,0.38199111658489737,0.0,[],0,0.0,1.1102230246251565e-16,2.6645352591003757e-15,4.263256414560601e-14
T11,target,regular-sensitivity,5,1.838767864264389,-0.8957091860306073,[],0,3.088455002048457,1.1102230246251565e-16,2.6645352591003757e-15,4.263256414560601e-14
T11,target,regular-sensitivity,20,5.950434629933982,-9.4000697232999,[],0,34.821524376084426,1.1102230246251565e-16,2.6645352591003757e-15,4.263256414560601e-14
T11,target,regular-sensitivity,50,9.25569410728695,-20.55751017558228,[],0,82.12459336627778,1.1102230246251565e-16,2.6645352591003757e-15,4.263256414560601e-14
T12,target,regular-sensitivity,1,1.1272876815686077,0.0,[],0,0.0,2.220446049250313e-16,1.1368683772161603e-13,5.820766091346741e-11
T12,target,regular-sensitivity,5,6.307032567294687,-15.21778224592295,[],0,30.4355644918459,2.220446049250313e-16,1.1368683772161603e-13,5.820766091346741e-11
T12,target,regular-sensitivity,20,41.464013809159866,-924.0539723897584,[],0,1848.1079447795169,2.220446049250313e-16,1.1368683772161603e-13,5.820766091346741e-11
T12,target,regular-sensitivity,50,484.3315856647335,-139427.89657636097,[],0,278855.79315272195,2.220446049250313e-16,1.1368683772161603e-13,5.820766091346741e-11
T13,target,analytic-zero,1,0.0,0.0,"[0,1,2]",3,0.0,0.0,0.0,0.0
T13,target,analytic-zero,5,0.0,0.0,"[0,1,2]",3,0.0,0.0,0.0,0.0
T13,target,analytic-zero,20,0.0,0.0,"[0,1,2]",3,0.0,0.0,0.0,0.0
T13,target,analytic-zero,50,0.0,0.0,"[0,1,2]",3,0.0,0.0,0.0,0.0
T14,target,low-sensitivity,1,1.5890824969900514e-13,0.0,[2],1,0.0,4.440892098500626e-16,2.921188334515914e-17,3.6822507587973972e-28
T14,target,low-sensitivity,5,7.918567992166798e-13,-4.86177761806867e-25,[],0,9.72355523613734e-25,4.440892098500626e-16,2.921188334515914e-17,3.6822507587973972e-28
T14,target,low-sensitivity,20,3.1116203249155438e-12,-9.70185633892245e-24,[],0,1.94037126778449e-23,4.440892098500626e-16,2.921188334515914e-17,3.6822507587973972e-28
T14,target,low-sensitivity,50,7.540424231686602e-12,-7.100895048419257e-23,[],0,1.4201790096838515e-22,4.440892098500626e-16,2.921188334515914e-17,3.6822507587973972e-28
